.docm,Word Macro-Enabled Document,"The XML-based and macro-enabled file format for Word 2019, Word 2016, Word 2013, Word 2010, and Office Word 2007. Stores Visual Basic for Applications (VBA) macro code."
.docx,Word Document,"The default XML-based file format for Word 2019, Word 2016, Word 2013, Word 2010, and Office Word 2007."
.docx,Strict Open XML Document,"Conforms to the Strict profile of the Open XML standard (ISO/IEC 29500). This profile of Open XML doesn't allow a set of features that are designed specifically for backward-compatibility with existing binary documents, as specified in Part 4 of ISO/IEC 29500."
.dot,Word 97-2003 Template,Template for Word 97-Word 2003 files.
.dotm,Word Macro-Enabled Template,"Template for creating new Word 2019, Word 2016, Word 2013, Word 2010, and Office Word 2007 files that contain macros. Users who want to include UI customizations or macros in the template should use this file format."
.dotx,Word Template,"Template for creating new Word 2019, Word 2016, Word 2013, Word 2010, and Office Word 2007 files that do not contain macros."
".htm, .html",Web Page,"A web page that is saved as a folder that contains an .htm file and all supporting files, such as images, sound files, cascading style sheets, scripts, and more. Good for posting on a site or editing with Microsoft Office FrontPage or another HTML editor."
".htm, .html","Web Page, Filtered","Saving in the Web Page, Filtered file format removes Microsoft Office-specific tags. If users save in filtered HTML and then re-open the file in an Office application, text and general appearance are preserved. However, some features might work differently."
.mht; .mhtml,Single File Web Page,"A web page as a single file that includes an .htm file and all supporting files, such as images, sound files, cascading style sheets, scripts, and more."
.odt,OpenDocument Text,"A file format for saving Word 2019, Word 2016, and Word 2013 files so that they can be opened in document applications that use the OpenDocument format. Users can also open documents in the .odt format in Word 2019, Word 2016, and Word 2013. Formatting might be lost when users save and open .odt files."
.pdf,PDF,"Portable Document Format (PDF), a PostScript-based electronic file format that was developed by Adobe Systems. It preserves document formatting and enables file sharing."
,,
,,"Files that use the PDF file format can be saved and opened by using Word 2019, Word 2016, and Word 2013."
,,
,,"Important:ÿPDF files might not have a perfect page-to-page correspondence with the original. For example, the pages might break at different locations."
.rtf,Rich Text Format,"RTF controls the representation and formatting of a document, both on the screen and in print. When they use the .rtf file format, documents created under different operating systems and with different software applications can be transferred between those operating systems and applications."
.txt,Plain Text,"When users save a document as a .txt file, the document loses all formatting."
.wps,Works 6-9 Document,"This is the default file format of Microsoft Works, versions 6.0 through 9.0."
.xml,Word 2003 XML Document,The XML format supported in Office Word 2003.
.xml,Word XML Document,"The XML file format supported in Word 2019, Word 2016, Word 2013, Word 2010, and Office Word 2007 (Open XML)."
.xps,XPS Document,"XML Paper Specification, a file format that preserves document formatting and enables file sharing. When the XPS file is viewed online or printed, it keeps exactly the format that users intended, and the data in the file cannot be easily changed."
,,
,,"You can use Word 2019, Word 2016, or Word 2013 to save documents in the XPS Document file format, but you can't open them by using Word 2019, Word 2016, or Word 2013."
.csv,CSV (Comma delimited),"Saves a workbook as a comma-delimited text file for use on another Windows operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
