TableName	RowCount
[dbo].[ActiveDirUser]	0
[dbo].[ActiveSearchGuids]	0
[dbo].[ArchiveFrom]	0
[dbo].[ArchiveHist]	238
[dbo].[ArchiveHistContentType]	47533
[dbo].[ArchiveStats]	49
[dbo].[AssignableUserParameters]	0
[dbo].[AttachmentType]	312
[dbo].[AttributeDatatype]	38
[dbo].[Attributes]	51
[dbo].[AvailFileTypes]	129
[dbo].[AvailFileTypesUndefined]	7545
[dbo].[BusinessFunctionJargon]	0
[dbo].[BusinessJargonCode]	0
[dbo].[CaptureItems]	0
[dbo].[ConnectionStrings]	0
[dbo].[ConnectionStringsRegistered]	0
[dbo].[ConnectionStringsSaved]	0
[dbo].[ContactFrom]	0
[dbo].[ContactsArchive]	225
[dbo].[ContainerStorage]	0
[dbo].[ConvertedDocs]	0
[dbo].[CoOwner]	0
[dbo].[CorpContainer]	0
[dbo].[CorpFunction]	0
[dbo].[Corporation]	0
[dbo].[CS]	0
[dbo].[CS_SharePoint]	0
[dbo].[DatabaseFiles]	11254
[dbo].[Databases]	2
[dbo].[DataOwners]	0
[dbo].[DataSource]	1830343
[dbo].[DataSourceCheckOut]	0
[dbo].[DataSourceOwner]	2050783
[dbo].[DataSourceRestoreHistory]	1
[dbo].[DataTypeCodes]	50
[dbo].[DB_UpdateHist]	0
[dbo].[DB_Updates]	143
[dbo].[DeleteFrom]	0
[dbo].[DirArchLib]	0
[dbo].[Directory]	183
[dbo].[DirectoryGuids]	0
[dbo].[DirectoryListener]	2
[dbo].[DirectoryListenerFiles]	0
[dbo].[DirectoryTemp]	0
[dbo].[DirProfiles]	3
[dbo].[DuplicateContent]	0
[dbo].[EcmUser]	0
[dbo].[Email]	0
[dbo].[EmailArchParms]	0
[dbo].[EmailAttachment]	0
[dbo].[EmailAttachmentSearchList]	0
[dbo].[EmailFolder]	3526
[dbo].[EmailFolder_BAK]	0
[dbo].[EmailFolder_BAK2]	0
[dbo].[EmailRunningTotal]	0
[dbo].[EmailToDelete]	0
[dbo].[ExcgKey]	0
[dbo].[ExchangeHostPop]	0
[dbo].[ExchangeHostSmtp]	0
[dbo].[ExcludedFiles]	13
[dbo].[ExcludeFrom]	0
[dbo].[FileKey]	0
[dbo].[FileKeyMachine]	0
[dbo].[FileKeyMachineDir]	0
[dbo].[FilesToDelete]	0
[dbo].[FileType]	0
[dbo].[FUncSkipWords]	0
[dbo].[FunctionProdJargon]	0
[dbo].[GlobalAsso]	0
[dbo].[GlobalDirectory]	0
[dbo].[GlobalEmail]	0
[dbo].[GlobalFile]	0
[dbo].[GlobalLocation]	0
[dbo].[GlobalMachine]	0
[dbo].[GlobalSeachResults]	0
[dbo].[GroupLibraryAccess]	359
[dbo].[GroupUsers]	91
[dbo].[HashDir]	0
[dbo].[HashFile]	0
[dbo].[HelpInfo]	8
[dbo].[HelpText]	751
[dbo].[HelpTextUser]	0
[dbo].[HiveServers]	0
[dbo].[ImageTypeCodes]	11
[dbo].[IncludedFiles]	16707
[dbo].[IncludeImmediate]	0
[dbo].[InformationProduct]	0
[dbo].[InformationType]	0
[dbo].[Inventory]	0
[dbo].[IP]	41
[dbo].[JargonWords]	0
[dbo].[LibDirectory]	177
[dbo].[LibEmail]	0
[dbo].[Library]	152
[dbo].[LibraryItems]	137075
[dbo].[LibraryUsers]	1927
[dbo].[License]	1
[dbo].[License_Backup]	6
[dbo].[LoadProfile]	2
[dbo].[LoadProfileItem]	44
[dbo].[LoginClient]	12
[dbo].[LoginMachine]	0
[dbo].[LoginUser]	0
[dbo].[Logs]	0
[dbo].[Machine]	354884
[dbo].[MachineRegistered]	14
[dbo].[MyTempTable]	0
[dbo].[OutlookFrom]	0
[dbo].[OwnerHistory]	7
[dbo].[PgmTrace]	237037
[dbo].[ProcessFileAs]	34
[dbo].[ProdCaptureItems]	0
[dbo].[QtyDocs]	0
[dbo].[QuickDirectory]	0
[dbo].[QuickRef]	0
[dbo].[QuickRefItems]	0
[dbo].[Recipients]	0
[dbo].[RepeatData]	0
[dbo].[reports]	0
[dbo].[Repository]	0
[dbo].[RestorationHistory]	0
[dbo].[Retention]	7
[dbo].[RetentionTemp]	0
[dbo].[RiskLevel]	0
[dbo].[RunParms]	357
[dbo].[RuntimeErrors]	76937
[dbo].[SavedItems]	547
[dbo].[SearchForFrancisco_Dec7_2011]	56
[dbo].[SearchHistory]	12136
[dbo].[SearhParmsHistory]	10802
[dbo].[ServiceActivity]	0
[dbo].[SessionVar]	25240
[dbo].[SkipWords]	0
[dbo].[SourceAttribute]	9288368
[dbo].[SourceContainer]	0
[dbo].[SourceInjector]	0
[dbo].[SourceType]	7623
[dbo].[SqlDataTypes]	0
[dbo].[StagedSQL]	0
[dbo].[Storage]	0
[dbo].[StructuredData]	0
[dbo].[StructuredDataProcessed]	0
[dbo].[SubDir]	0
[dbo].[SubLibrary]	0
[dbo].[sysdiagrams]	1
[dbo].[SystemMessage]	2676
[dbo].[SystemParms]	30
[dbo].[TempUserLibItems]	0
[dbo].[TestTbl]	0
[dbo].[Trace]	67761
[dbo].[TraceSearchedForTest_dec7_2011]	181
[dbo].[txTimes]	0
[dbo].[UD_Qty]	0
[dbo].[upgrade_status]	0
[dbo].[UrlList]	0
[dbo].[UrlRejection]	0
[dbo].[UserCurrParm]	36
[dbo].[UserGroup]	23
[dbo].[UserReassignHist]	0
[dbo].[Users]	67
[dbo].[VersionInfo]	7
[dbo].[Volitility]	0
[dbo].[WebSource]	0
[dbo].[ZippedFiles]	0
